match_id,timestamp,player_champion,opponent_champion,total_cs,opponent_total_cs,cs_per_min,gold_diff,first_10_min_cs,opponent_first_10_min_cs,win,player_cs_timeline,opponent_cs_timeline
EUW1_7371439620,2025-04-17T05:05:01.982000,Teemo,DrMundo,203,237,5.6,281,62,65,True,"0,0,4,12,21,30,36,45,51,58,62,73,73,73,80","0,0,3,10,16,21,31,36,47,53,65,71,83,93,97"
EUW1_7368728092,2025-04-14T19:10:17.182000,Camille,Singed,204,231,5.994123408423115,3182,41,66,True,"0,0,0,5,13,20,21,23,24,33,41,52,58,58,72","0,0,5,10,17,26,26,38,44,58,66,85,90,90,96"
EUW1_7368728092,2025-04-14T19:10:17.182000,Singed,Camille,231,204,6.787463271302645,-3182,66,41,False,"0,0,5,10,17,26,26,38,44,58,66,85,90,90,96","0,0,0,5,13,20,21,23,24,33,41,52,58,58,72"
EUW1_7368580496,2025-04-14T17:01:26.549000,Aatrox,Kled,139,191,4.798619102416571,-1716,54,64,True,"0,0,3,13,16,19,29,31,34,43,54,66,74,83,93","0,0,4,10,19,25,36,41,56,58,65,72,80,94,97"
EUW1_7368580496,2025-04-14T17:01:26.549000,Kled,Aatrox,191,139,6.593785960874569,1716,64,54,False,"0,0,4,10,19,25,36,41,56,58,65,72,80,94,97","0,0,3,13,16,19,29,31,34,43,54,66,74,83,93"
EUW1_7368534384,2025-04-14T16:22:56.654000,Gangplank,Zac,168,131,6.649076517150396,-140,62,51,False,"0,0,4,14,21,29,32,38,44,53,62,71,71,75,78","0,0,2,6,12,16,27,29,39,43,51,60,61,70,75"
EUW1_7368534384,2025-04-14T16:22:56.654000,Zac,Gangplank,131,168,5.1846965699208445,140,51,62,True,"0,0,2,6,12,16,27,29,39,43,51,60,61,70,75","0,0,4,14,21,29,32,38,44,53,62,71,71,75,78"
EUW1_7367542888,2025-04-13T18:01:05.015000,Sion,Malphite,155,106,7.6923076923076925,3538,83,56,True,"0,0,4,17,27,35,42,47,61,70,83,89,99,112,119","0,0,1,7,11,15,28,33,35,46,56,61,70,81,91"
EUW1_7367542888,2025-04-13T18:01:05.015000,Malphite,Sion,106,155,5.260545905707197,-3538,56,83,False,"0,0,1,7,11,15,28,33,35,46,56,61,70,81,91","0,0,4,17,27,35,42,47,61,70,83,89,99,112,119"
EUW1_7366819083,2025-04-13T00:35:42.399000,Yorick,Lucian,216,224,7.168141592920354,2908,66,78,True,"0,0,3,9,18,32,40,45,48,61,66,76,81,87,87","0,0,4,15,26,34,42,50,61,66,78,84,92,95,102"
EUW1_7366819083,2025-04-13T00:35:42.399000,Lucian,Yorick,224,216,7.433628318584071,-2908,78,66,False,"0,0,4,15,26,34,42,50,61,66,78,84,92,95,102","0,0,3,9,18,32,40,45,48,61,66,76,81,87,87"
EUW1_7366766254,2025-04-12T23:52:58.639000,Urgot,TahmKench,164,153,5.353645266594124,-2638,49,43,False,"0,0,3,15,22,28,34,41,45,49,49,51,60,63,65","0,0,2,9,14,16,24,30,39,43,43,59,64,72,79"
EUW1_7366766254,2025-04-12T23:52:58.639000,TahmKench,Urgot,153,164,4.99455930359086,2638,43,49,True,"0,0,2,9,14,16,24,30,39,43,43,59,64,72,79","0,0,3,15,22,28,34,41,45,49,49,51,60,63,65"
EUW1_7366463698,2025-04-12T19:57:13.951000,Singed,Kayle,248,272,8.820391227030232,-5625,89,76,False,"0,0,8,18,27,37,44,59,69,72,89,95,111,118,137","0,0,6,18,29,34,45,58,63,68,76,89,100,112,125"
EUW1_7366463698,2025-04-12T19:57:13.951000,Kayle,Singed,272,248,9.67397747480735,5625,76,89,True,"0,0,6,18,29,34,45,58,63,68,76,89,100,112,125","0,0,8,18,27,37,44,59,69,72,89,95,111,118,137"
EUW1_7365806543,2025-04-12T04:20:15.405000,Yorick,Zac,166,209,5.9640718562874255,-1895,68,60,True,"0,0,3,16,25,35,37,46,56,60,68,75,75,81,85","0,0,5,9,14,14,27,38,44,53,60,69,74,89,102"
EUW1_7365806543,2025-04-12T04:20:15.405000,Zac,Yorick,209,166,7.508982035928144,1895,60,68,False,"0,0,5,9,14,14,27,38,44,53,60,69,74,89,102","0,0,3,16,25,35,37,46,56,60,68,75,75,81,85"
EUW1_7365792667,2025-04-12T03:36:45.292000,JarvanIV,Yasuo,120,125,4.38489646772229,-812,55,53,True,"0,0,2,9,21,28,34,39,41,47,55,59,68,68,72","0,0,3,10,12,23,25,32,38,48,55,69,76,78,78"
EUW1_7365792667,2025-04-12T03:36:45.292000,Yasuo,JarvanIV,125,120,4.5676004872107185,812,53,55,False,"0,0,3,10,12,23,25,32,38,48,55,69,76,78,78","0,0,2,9,21,28,34,39,41,47,55,59,68,68,72"
EUW1_7365127226,2025-04-11T17:25:58.323000,Vayne,Gnar,187,167,5.02013422818792,-1149,51,48,False,"0,0,3,14,20,30,30,34,41,49,51,64,75,83,87","0,0,4,8,19,21,25,35,37,42,48,56,61,68,80"
EUW1_7365127226,2025-04-11T17:25:58.323000,Gnar,Vayne,167,187,4.483221476510067,1149,48,51,True,"0,0,4,8,19,21,25,35,37,42,48,56,61,68,80","0,0,3,14,20,30,30,34,41,49,51,64,75,83,87"
EUW1_7365098554,2025-04-11T16:54:06.532000,Naafiri,Yone,158,170,6.747330960854092,1808,69,61,True,"0,0,2,9,21,23,36,46,55,59,69,72,79,90,98","0,0,2,8,12,22,24,35,40,47,61,61,70,76,88"
EUW1_7365098554,2025-04-11T16:54:06.532000,Yone,Naafiri,170,158,7.259786476868327,-1808,61,69,False,"0,0,2,8,12,22,24,35,40,47,61,61,70,76,88","0,0,2,9,21,23,36,46,55,59,69,72,79,90,98"
EUW1_7364263621,2025-04-10T20:21:26.055000,Illaoi,Shen,261,159,9.371633752244165,4975,82,62,True,"0,0,4,14,22,29,39,51,62,69,82,94,101,112,124","0,0,3,13,18,24,36,42,46,57,62,70,81,87,87"
